Athlete_ID,NOC
1,France
2,France
3,France
4,France
5,France
6,France
7,France
8,France
9,France
10,France
11,France
12,France
13,France
14,France
15,France
16,France
17,France
18,France
19,France
20,France
21,France
22,France
23,France
24,France
25,France
26,France
27,France
28,France
29,France
30,France
31,France
32,France
33,France
34,France
35,France
36,France
37,France
38,Great Britain
39,Great Britain
40,Great Britain
41,Great Britain
42,Great Britain
43,Great Britain
44,Great Britain
45,Great Britain
46,Great Britain
47,Great Britain
48,Great Britain
49,Great Britain
50,Great Britain
51,Great Britain
52,Great Britain
53,Great Britain
54,Great Britain
55,Great Britain
56,Great Britain
57,Great Britain
58,Great Britain
59,Great Britain
60,Great Britain
61,Great Britain
62,Great Britain
63,Great Britain
64,Great Britain
65,Great Britain
66,Great Britain
67,Great Britain
68,Great Britain
69,Great Britain
70,Great Britain
71,Great Britain
72,Great Britain
73,Great Britain
74,Great Britain
75,Great Britain
76,Great Britain
77,Great Britain
78,Great Britain
79,Great Britain
80,Great Britain
81,Great Britain
82,Great Britain
83,Great Britain
84,Great Britain
85,Great Britain
86,Great Britain
87,Great Britain
88,Great Britain
89,Great Britain
90,Great Britain
91,Great Britain
92,Great Britain
93,Great Britain
94,Great Britain
95,Great Britain
96,Great Britain
97,Great Britain
98,Great Britain
99,Great Britain
100,Great Britain
101,Great Britain
102,Great Britain
103,Great Britain
104,Great Britain
105,Great Britain
106,Great Britain
107,Great Britain
108,Great Britain
109,Great Britain
110,Great Britain
111,Great Britain
112,Great Britain
113,Great Britain
114,Great Britain
115,Great Britain
116,Great Britain
117,Great Britain
118,Great Britain
119,France
120,Great Britain
121,Great Britain
122,Great Britain
123,Great Britain
124,Germany West Germany
125,West Germany
126,Germany
127,West Germany
128,Germany
129,Germany West Germany
130,West Germany
131,Germany
132,Germany
133,Germany
134,Germany
135,Germany
136,Germany
137,Germany
138,Germany
139,West Germany
140,Germany West Germany
141,Germany
142,Germany
143,Germany
144,Germany
145,Germany
146,Germany
147,Germany
148,West Germany
149,Germany
150,Germany
151,Germany
152,Germany
153,Germany
154,Germany
155,Germany
156,West Germany
157,Germany West Germany
158,Germany
159,Germany
160,Germany West Germany
161,Germany
162,Germany
163,Germany
164,Germany
165,Ghana
166,Ghana
167,Ghana
168,Ghana
169,Greece
170,Greece
171,Greece
172,Greece
173,Greece
174,Greece
175,Greece
176,Greece
177,Greece
178,Greece
179,Greece
180,Greece
181,Greece
182,Greece
183,Greece
184,Greece
185,Greece
186,Greece
187,Guatemala
188,Haiti
189,"Hong Kong, China"
190,"Hong Kong, China"
191,"Hong Kong, China"
192,"Hong Kong, China"
193,"Hong Kong, China"
194,"Hong Kong, China"
195,"Hong Kong, China"
196,"Hong Kong, China"
197,"Hong Kong, China"
198,"Hong Kong, China"
199,"Hong Kong, China"
200,"Hong Kong, China"
201,"Hong Kong, China"
202,"Hong Kong, China"
203,"Hong Kong, China"
204,"Hong Kong, China"
205,"Hong Kong, China"
206,Hungary
207,Hungary
208,Hungary
