Event,Discipline
SinglesOlympic,Tennis
DoublesOlympic,Tennis
DoublesMixedOlympic,Tennis
SinglesOlympic,Table Tennis
DoublesOlympic,Table Tennis
SinglesHandicapOlympicnonmedal,Tennis
DoublesHandicapOlympicnonmedal,Tennis
peIndividualOlympic,Fencing
Tennis,Fencing
DoublesOlympic,Fencing
DoublesHandicapMixedOlympicnonmedal,Fencing
SinglesHandicapOlympicnonmedal,Fencing
DoublesHandicapOlympicnonmedal,Fencing
SinglesIntercalated,Tennis
DoublesMixedIntercalated,Tennis
DoublesIntercalated,Tennis
DoublesCoveredCourtsMixedOlympic,Tennis
SinglesCoveredCourtsOlympic,Tennis
SinglesOlympicnonmedal,Tennis
DoublesHandicapMixedOlympicnonmedal,Tennis
DoublesCoveredCourtsOlympic,Tennis
Polo,Tennis
PoloOlympicnonmedal,Tennis
SinglesOlympic,Badminton
SinglesCoveredCourtsOlympic,Tennis
SinglesOlympic,Tennis
DoublesOlympic,Tennis
DoublesOlympic,Badminton
DoublesMixedOlympic,Badminton
SinglesHandicapOlympicnonmedal,Tennis
SinglesOlympic,Table Tennis
DoublesOlympic,Table Tennis
SinglesOlympic,Badminton
DoublesOlympic,Badminton
SinglesOlympicnonmedal,Badminton
SinglesOlympicnonmedal,Tennis
TeamOlympic,Table Tennis
DoublesOlympicnonmedal,Tennis
HockeyOlympic,Hockey
Tennis,Hockey
SinglesOlympic,Hockey
DoublesOlympic,Hockey
100metresOlympic,Athletics
400metresOlympic,Athletics
800metresOlympic,Athletics
110metresHurdlesOlympic,Athletics
HighJumpOlympic,Athletics
PoleVaultOlympic,Athletics
LongJumpOlympic,Athletics
TripleJumpOlympic,Athletics
Tennis,Athletics
SinglesOlympic,Athletics
DoublesOlympic,Athletics
TeamOlympic,Table Tennis
SwimmingAquatics,Tennis
100metresFreestyleOlympic,Tennis
500metresFreestyleOlympic,Tennis
1200metresFreestyleOlympic,Tennis
ArchitectureOpenOlympic,Art Competitions
Weightlifting,Tennis
UnlimitedTwoHandsOlympic,Tennis
Wrestling,Tennis
UnlimitedClassGrecoRomanOlympic,Tennis
Athletics,Tennis
PoleVaultOlympic,Tennis
LongJumpOlympic,Tennis
ShotPutOlympic,Tennis
IndividualOlympic,Modern Pentathlon
TeamOlympic,Modern Pentathlon
IndividualOlympic,Archery
IndividualOlympic,Archery
TeamOlympic,Archery
TeamOlympic,Archery
TargetArchery28metresTeamOlympic,Archery
TargetArchery33metresTeamOlympic,Archery
TargetArchery50metresTeamOlympic,Archery
PoleArcherySmallBirdsIndividualOlympic,Archery
PoleArcheryLargeBirdsIndividualOlympic,Archery
PoleArcherySmallBirdsTeamOlympic,Archery
PoleArcheryLargeBirdsTeamOlympic,Archery
SurLaPercheLaHerseOlympic,Archery
AuChapelet33metresOlympic,Archery
AuChapelet50metresOlympic,Archery
AuCordonDor33metresOlympic,Archery
AuCordonDor50metresOlympic,Archery
ChampionnatDuMondeOlympic,Archery
TargetArchery28metresIndividualOlympic,Archery
TargetArchery33metresIndividualOlympic,Archery
TargetArchery50metresIndividualOlympic,Archery
ContinentalStyleOlympic,Archery
DoubleYorkRoundOlympic,Archery
SurLaPercheLaPyramideOlympic,Archery
FrenchChampionshipIndividualOlympicnonmedal,Archery
DoubleNationalRoundOlympic,Archery
1500metresOlympic,Athletics
MarathonOlympic,Athletics
DoublesOlympicnonmedal,Badminton
DoublesOlympicnonmedal,Badminton
SinglesOlympicnonmedal,Badminton
DoublesMixedOlympicnonmedal,Badminton
WelterweightOlympic,Boxing
LightHeavyweightOlympic,Boxing
FeatherweightOlympic,Boxing
LightWelterweightOlympic,Boxing
FlyweightOlympic,Boxing
LightweightOlympic,Boxing
HeavyweightOlympic,Boxing
BantamweightOlympic,Boxing
LightFlyweightOlympic,Boxing
MiddleweightOlympic,Boxing
LightMiddleweightOlympic,Boxing
SuperHeavyweightOlympic,Boxing
SoftballOlympic,Softball (Baseball/Softball)
BaseballOlympic,Baseball (Baseball/Softball)
BaseballOlympicnonmedal,Baseball (Baseball/Softball)
TeamMixedOlympic,Archery
DoubleColumbiaRoundOlympic,Archery
TeamRoundOlympic,Archery
FlightShootingOlympicnonmedal,Archery
DoubleAmericanRoundOlympic,Archery
TeamRoundOlympic,Archery
FlightShootingOlympicnonmedal,Archery
8metresOpenOlympic,Sailing
Tennis,Sailing
SinglesOlympic,Sailing
DoublesMixedOlympic,Sailing
DoublesOlympic,Sailing
SinglesCoveredCourtsOlympic,Sailing
DoublesCoveredCourtsOlympic,Sailing
PaintingUnknownEventOpenOlympic,Art Competitions
IndividualOlympic,Golf
IndividualOlympicnonmedal,Golf
Tennis,Golf
DoublesOlympic,Golf
TeamOlympic,Golf
TeamOlympicnonmedal,Golf
SinglesOlympic,Golf
SinglesOlympicnonmedal,Golf
DoublesOlympicnonmedal,Golf
IndividualHandicapOlympicnonmedal,Golf
DoublesMixedOlympic,Golf
DoublesHandicapMixedOlympicnonmedal,Golf
DoublesHandicapOlympicnonmedal,Golf
SinglesHandicapOlympicnonmedal,Golf
SinglesOlympic,Jeu De Paume
LongJumpOlympicnonmedal,Tennis
LongJumpHandicapOlympicnonmedal,Tennis
Golf,Tennis
IndividualOlympic,Tennis
BasketballOlympic,Basketball (Basketball)
RoadRaceIndividualOlympic,Cycling Road (Cycling)
BasketballOlympic,Basketball (Basketball)
TripleJumpOlympic,Athletics
HandballOlympic,Handball
AustralianRulesFootballOlympicnonmedal,Australian Rules Football
OnePersonDinghyOpenOlympic,Sailing
DecathlonOlympic,Athletics
FourOlympic,Bobsleigh (Bobsleigh)
FootballFootball,Boxing
FootballOlympic,Boxing
Athletics,Boxing
100yardsOlympicnonmedal,Boxing
440yardsOlympicnonmedal,Boxing
100yardsHandicapOlympicnonmedal,Boxing
220yardsHandicapOlympicnonmedal,Boxing
440yardsHandicapOlympicnonmedal,Boxing
KayakDoubles500metresOlympic,Canoe Sprint (Canoeing)
KayakSingles500metresOlympic,Canoe Sprint (Canoeing)
KayakDoubles500metresOlympic,Canoe Sprint (Canoeing)
KayakFours1000metresOlympic,Canoe Sprint (Canoeing)
KayakSingles500metresOlympic,Canoe Sprint (Canoeing)
KayakDoubles1000metresOlympic,Canoe Sprint (Canoeing)
KayakSingles1000metresOlympic,Canoe Sprint (Canoeing)
KayakSinglesSlalomOlympic,Canoe Slalom (Canoeing)
KayakFours500metresOlympic,Canoe Sprint (Canoeing)
KayakSinglesSlalomOlympic,Canoe Slalom (Canoeing)
KayakSingles10000metresOlympic,Canoe Marathon (Canoeing)
CanadianSinglesSlalomOlympic,Canoe Slalom (Canoeing)
CanoeMarathonCanoeing,Canoe Sprint (Canoeing)
KayakDoubles10000metresOlympic,Canoe Sprint (Canoeing)
KayakRelay4500metresOlympic,Canoe Sprint (Canoeing)
CanadianDoublesSlalomOlympic,Canoe Slalom (Canoeing)
CanadianSingles1000metresOlympic,Canoe Sprint (Canoeing)
CanadianSingles10000metresOlympic,Canoe Sprint (Canoeing)
CanadianDoubles1000metresOlympic,Canoe Sprint (Canoeing)
CanadianDoubles10000metresOlympic,Canoe Sprint (Canoeing)
FoldingKayakDoubles10000metresOlympic,Canoe Sprint (Canoeing)
FoldingKayakSingles10000metresOlympic,Canoe Sprint (Canoeing)
KayakDoubles10000metresOlympic,Canoe Marathon (Canoeing)
KayakSingles10000metresOlympic,Canoe Sprint (Canoeing)
FoldingKayakSingles10000metresOlympic,Canoe Marathon (Canoeing)
FoldingKayakDoubles10000metresOlympic,Canoe Marathon (Canoeing)
CanadianSingles500metresOlympic,Canoe Sprint (Canoeing)
CanadianDoubles500metresOlympic,Canoe Sprint (Canoeing)
SmallBoreRifleProne50metresOpenOlympic,Shooting
CanadianDoubles10000metresOlympic,Canoe Marathon (Canoeing)
CanadianSingles10000metresOlympic,Canoe Marathon (Canoeing)
SingleScullsOlympic,Rowing
TeamPursuit4000metresOlympic,Cycling Track (Cycling)
RoadRaceTeamOlympic,Cycling Road (Cycling)
100kilometresTeamTimeTrialOlympic,Cycling Road (Cycling)
PoloOlympic,Polo
RugbyOlympic,Rugby (Rugby)
EightsOlympic,Rowing
IndividualOpenOlympic,Equestrian Dressage (Equestrian)
TeamOpenOlympic,Equestrian Dressage (Equestrian)
