Year,Event,Gender
1992,BasketballBasketball,M
2012,JudoExtraLightweight,M
1920,FootballFootball,M
1900,TugOfWarTugOfWar,M
1988,SpeedSkating500metres,F
1988,SpeedSkating1000metres,F
1992,SpeedSkating500metres,F
1992,SpeedSkating1000metres,F
1994,SpeedSkating500metres,F
1994,SpeedSkating1000metres,F
1992,CrossCountrySkiing10kilometres,M
1992,CrossCountrySkiing50kilometres,M
1992,CrossCountrySkiing1015kilometresPursuit,M
1992,CrossCountrySkiing4x10kilometresRelay,M
1994,CrossCountrySkiing10kilometres,M
1994,CrossCountrySkiing30kilometres,M
1994,CrossCountrySkiing1015kilometresPursuit,M
1994,CrossCountrySkiing4x10kilometresRelay,M
1932,Athletics100metres,F
1932,Athletics4x100metresRelay,F
2002,IceHockeyIceHockey,M
1952,Swimming400metresFreestyle,M
1980,CrossCountrySkiing30kilometres,M
2000,BadmintonSingles,M
1996,SailingWindsurfer,F
2000,SailingWindsurfer,F
1994,Biathlon75kilometresSprint,F
1912,Swimming200metresBreaststroke,M
1912,Swimming400metresBreaststroke,M
1920,Swimming200metresBreaststroke,M
1920,Swimming400metresBreaststroke,M
1924,Swimming200metresBreaststroke,M
2014,IceHockeyIceHockey,M
1948,GymnasticsIndividualAllAround,M
1948,GymnasticsTeamAllAround,M
1948,GymnasticsFloorExercise,M
1948,GymnasticsHorseVault,M
1948,GymnasticsParallelBars,M
1948,GymnasticsHorizontalBar,M
1948,GymnasticsRings,M
1948,GymnasticsPommelledHorse,M
1952,GymnasticsIndividualAllAround,M
1952,GymnasticsTeamAllAround,M
1952,GymnasticsFloorExercise,M
1952,GymnasticsHorseVault,M
1952,GymnasticsParallelBars,M
1952,GymnasticsHorizontalBar,M
1952,GymnasticsRings,M
1952,GymnasticsPommelledHorse,M
2000,AthleticsShotPut,M
1948,ArtCompetitionsMixedSculpturingUnknownEvent,X
1992,AlpineSkiingDownhill,M
1992,AlpineSkiingSuperG,M
1992,AlpineSkiingGiantSlalom,M
1992,AlpineSkiingSlalom,M
1994,AlpineSkiingDownhill,M
1994,AlpineSkiingSuperG,M
1994,AlpineSkiingGiantSlalom,M
1994,AlpineSkiingSlalom,M
1994,AlpineSkiingCombined,M
1998,AlpineSkiingDownhill,M
1998,AlpineSkiingSuperG,M
1998,AlpineSkiingGiantSlalom,M
1998,AlpineSkiingCombined,M
2002,AlpineSkiingDownhill,M
2002,AlpineSkiingSuperG,M
2002,AlpineSkiingGiantSlalom,M
2002,AlpineSkiingSlalom,M
2002,AlpineSkiingCombined,M
2006,AlpineSkiingDownhill,M
2006,AlpineSkiingSuperG,M
2008,HandballHandball,F
2016,WeightliftingSuperHeavyweight,F
2000,WrestlingLightHeavyweightGrecoRoman,M
2004,WrestlingLightHeavyweightGrecoRoman,M
1960,SpeedSkating500metres,M
1960,SpeedSkating1500metres,M
1964,SpeedSkating1500metres,M
1920,GymnasticsTeamAllAroundFreeSystem,M
1984,LugeSingles,F
1984,WaterPoloWaterPolo,M
1968,SailingMixedThreePersonKeelboat,X
1972,SailingMixedThreePersonKeelboat,X
1988,HockeyHockey,F
1996,RowingLightweightDoubleSculls,M
2000,RowingLightweightDoubleSculls,M
1936,AthleticsPoleVault,M
1912,AthleticsHighJump,M
