Year,City,Event
1992,Barcelona,BasketballBasketball
2012,London,JudoExtraLightweight
1920,Antwerpen,FootballFootball
1900,Paris,TugOfWarTugOfWar
1988,Calgary,SpeedSkating500metres
1988,Calgary,SpeedSkating1000metres
1992,Albertville,SpeedSkating500metres
1992,Albertville,SpeedSkating1000metres
1994,Lillehammer,SpeedSkating500metres
1994,Lillehammer,SpeedSkating1000metres
1992,Albertville,CrossCountrySkiing10kilometres
1992,Albertville,CrossCountrySkiing50kilometres
1992,Albertville,CrossCountrySkiing1015kilometresPursuit
1992,Albertville,CrossCountrySkiing4x10kilometresRelay
1994,Lillehammer,CrossCountrySkiing10kilometres
1994,Lillehammer,CrossCountrySkiing30kilometres
1994,Lillehammer,CrossCountrySkiing1015kilometresPursuit
1994,Lillehammer,CrossCountrySkiing4x10kilometresRelay
1932,Los Angeles,Athletics100metres
1932,Los Angeles,Athletics4x100metresRelay
2002,Salt Lake City,IceHockeyIceHockey
1952,Helsinki,Swimming400metresFreestyle
1980,Lake Placid,CrossCountrySkiing30kilometres
2000,Sydney,BadmintonSingles
1996,Atlanta,SailingWindsurfer
2000,Sydney,SailingWindsurfer
1994,Lillehammer,Biathlon75kilometresSprint
1912,Stockholm,Swimming200metresBreaststroke
1912,Stockholm,Swimming400metresBreaststroke
1920,Antwerpen,Swimming200metresBreaststroke
1920,Antwerpen,Swimming400metresBreaststroke
1924,Paris,Swimming200metresBreaststroke
2014,Sochi,IceHockeyIceHockey
1948,London,GymnasticsIndividualAllAround
1948,London,GymnasticsTeamAllAround
1948,London,GymnasticsFloorExercise
1948,London,GymnasticsHorseVault
1948,London,GymnasticsParallelBars
1948,London,GymnasticsHorizontalBar
1948,London,GymnasticsRings
1948,London,GymnasticsPommelledHorse
1952,Helsinki,GymnasticsIndividualAllAround
1952,Helsinki,GymnasticsTeamAllAround
1952,Helsinki,GymnasticsFloorExercise
1952,Helsinki,GymnasticsHorseVault
1952,Helsinki,GymnasticsParallelBars
1952,Helsinki,GymnasticsHorizontalBar
1952,Helsinki,GymnasticsRings
1952,Helsinki,GymnasticsPommelledHorse
2000,Sydney,AthleticsShotPut
1948,London,ArtCompetitionsMixedSculpturingUnknownEvent
1992,Albertville,AlpineSkiingDownhill
1992,Albertville,AlpineSkiingSuperG
1992,Albertville,AlpineSkiingGiantSlalom
1992,Albertville,AlpineSkiingSlalom
1994,Lillehammer,AlpineSkiingDownhill
1994,Lillehammer,AlpineSkiingSuperG
1994,Lillehammer,AlpineSkiingGiantSlalom
1994,Lillehammer,AlpineSkiingSlalom
1994,Lillehammer,AlpineSkiingCombined
1998,Nagano,AlpineSkiingDownhill
1998,Nagano,AlpineSkiingSuperG
1998,Nagano,AlpineSkiingGiantSlalom
1998,Nagano,AlpineSkiingCombined
2002,Salt Lake City,AlpineSkiingDownhill
2002,Salt Lake City,AlpineSkiingSuperG
2002,Salt Lake City,AlpineSkiingGiantSlalom
2002,Salt Lake City,AlpineSkiingSlalom
2002,Salt Lake City,AlpineSkiingCombined
2006,Torino,AlpineSkiingDownhill
2006,Torino,AlpineSkiingSuperG
2008,Beijing,HandballHandball
2016,Rio de Janeiro,WeightliftingSuperHeavyweight
2000,Sydney,WrestlingLightHeavyweightGrecoRoman
2004,Athina,WrestlingLightHeavyweightGrecoRoman
1960,Squaw Valley,SpeedSkating500metres
1960,Squaw Valley,SpeedSkating1500metres
1964,Innsbruck,SpeedSkating1500metres
1920,Antwerpen,GymnasticsTeamAllAroundFreeSystem
1984,Sarajevo,LugeSingles
1984,Los Angeles,WaterPoloWaterPolo
1968,Mexico City,SailingMixedThreePersonKeelboat
1972,Munich,SailingMixedThreePersonKeelboat
1988,Seoul,HockeyHockey
1996,Atlanta,RowingLightweightDoubleSculls
2000,Sydney,RowingLightweightDoubleSculls
1936,Berlin,AthleticsPoleVault
1912,Stockholm,AthleticsHighJump
1992,Barcelona,SailingTwoPersonDinghy
1996,Atlanta,SailingTwoPersonDinghy
2012,London,Athletics1500metres
1998,Nagano,BobsleighFour
1996,Atlanta,Swimming100metresButterfly
