Year,City
1992,Barcelona
2012,London
1920,Antwerpen
1900,Paris
1988,Calgary
1992,Albertville
1994,Lillehammer
1932,Los Angeles
2002,Salt Lake City
1952,Helsinki
1980,Lake Placid
2000,Sydney
1996,Atlanta
1912,Stockholm
1924,Paris
2014,Sochi
1948,London
1998,Nagano
2006,Torino
2008,Beijing
2016,Rio de Janeiro
2004,Athina
1960,Squaw Valley
1964,Innsbruck
1984,Sarajevo
1984,Los Angeles
1968,Mexico City
1972,Munich
1988,Seoul
1936,Berlin
1952,Oslo
1956,Cortina d'Ampezzo
1956,Melbourne
1960,Roma
1928,Amsterdam
1976,Montreal
1980,Moskva
1964,Tokyo
2010,Vancouver
1968,Grenoble
1906,Athina
1972,Sapporo
1976,Innsbruck
1924,Chamonix
1904,St. Louis
1928,Sankt Moritz
1908,London
1948,Sankt Moritz
1932,Lake Placid
1936,Garmisch-Partenkirchen
1896,Athina
1956,Stockholm
