City,NOC
Barcelona,ESP
London,GBR
Antwerpen,BEL
Paris,FRA
Calgary,CAN
Albertville,FRA
Lillehammer,NOR
Los Angeles,USA
Salt Lake City,USA
Helsinki,FIN
Lake Placid,USA
Sydney,AUS
Atlanta,USA
Stockholm,SWE
Sochi,RUS
Nagano,JPN
Torino,ITA
Beijing,CHN
Rio de Janeiro,BRA
Athina,GRC
Squaw Valley,USA
Innsbruck,AUT
Sarajevo,BIH
Mexico City,MEX
Munich,DEU
Seoul,KOR
Berlin,DEU
Oslo,NOR
Cortina d'Ampezzo,ITA
Melbourne,AUS
Roma,ITA
Amsterdam,NLD
Montreal,CAN
Moskva,RUS
Tokyo,JPN
Vancouver,CAN
Grenoble,FRA
Sapporo,JPN
Chamonix,FRA
St. Louis,USA
Sankt Moritz,CHE
Garmisch-Partenkirchen,DEU
